"key","label","path","source_standard_dataset","target_domain","rows","columns","mapping_key","expected_reference","metadata","role"
"raw_dm_demographics","Generated messy raw demographics from pharmaverse SDTM DM","inst/example_data/raw/raw_dm_demographics.csv","sdtm_dm.csv","DM",310,12,"inst/example_data/raw/metadata/raw_dm_demographics_mapping_key.csv","inst/example_data/raw/metadata/raw_dm_demographics_expected_dm.csv","inst/example_data/raw/metadata/raw_dm_demographics_metadata.json","generated messy raw/source-like example"
"raw_ae_crf","Generated messy raw adverse events from pharmaverse SDTM AE","inst/example_data/raw/raw_ae_crf.csv","sdtm_ae.csv","AE",1196,11,"inst/example_data/raw/metadata/raw_ae_crf_mapping_key.csv","inst/example_data/raw/metadata/raw_ae_crf_expected_ae.csv","inst/example_data/raw/metadata/raw_ae_crf_metadata.json","generated messy raw/source-like example"
"raw_ex_dosing_log","Generated messy raw exposure dosing log from pharmaverse SDTM EX","inst/example_data/raw/raw_ex_dosing_log.csv","sdtm_ex.csv","EX",594,11,"inst/example_data/raw/metadata/raw_ex_dosing_log_mapping_key.csv","inst/example_data/raw/metadata/raw_ex_dosing_log_expected_ex.csv","inst/example_data/raw/metadata/raw_ex_dosing_log_metadata.json","generated messy raw/source-like example"
"raw_lb_vendor","Generated messy raw laboratory vendor extract from pharmaverse SDTM LB","inst/example_data/raw/raw_lb_vendor.csv","sdtm_lb.csv","LB",5005,12,"inst/example_data/raw/metadata/raw_lb_vendor_mapping_key.csv","inst/example_data/raw/metadata/raw_lb_vendor_expected_lb.csv","inst/example_data/raw/metadata/raw_lb_vendor_metadata.json","generated messy raw/source-like example"
"raw_vs_clinic","Generated messy raw vital signs clinic extract from pharmaverse SDTM VS","inst/example_data/raw/raw_vs_clinic.csv","sdtm_vs.csv","VS",3004,9,"inst/example_data/raw/metadata/raw_vs_clinic_mapping_key.csv","inst/example_data/raw/metadata/raw_vs_clinic_expected_vs.csv","inst/example_data/raw/metadata/raw_vs_clinic_metadata.json","generated messy raw/source-like example"
"raw_rs_oncology","Generated messy raw oncology response from pharmaverse SDTM RS","inst/example_data/raw/raw_rs_oncology.csv","sdtm_rs_onco.csv","RS",5813,8,"inst/example_data/raw/metadata/raw_rs_oncology_mapping_key.csv","inst/example_data/raw/metadata/raw_rs_oncology_expected_rs.csv","inst/example_data/raw/metadata/raw_rs_oncology_metadata.json","generated messy raw/source-like example"
"raw_tte_events","Generated messy raw time-to-event extract from pharmaverse ADaM ADTTE","inst/example_data/raw/raw_tte_events.csv","adam_adtte_onco.csv","ADTTE",515,10,"inst/example_data/raw/metadata/raw_tte_events_mapping_key.csv","inst/example_data/raw/metadata/raw_tte_events_expected_adtte.csv","inst/example_data/raw/metadata/raw_tte_events_metadata.json","generated messy raw/source-like example"
