"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_vs_clinic.csv","sdtm_vs.csv","subject_id","VS","USUBJID","rename"
"raw_vs_clinic.csv","sdtm_vs.csv","visit_name","VS","VISIT","rename"
"raw_vs_clinic.csv","sdtm_vs.csv","assessment_date","VS","VSDTC","parse mixed date"
"raw_vs_clinic.csv","sdtm_vs.csv","vital_sign","VS","VSTEST","case normalize"
"raw_vs_clinic.csv","sdtm_vs.csv","position","VS","VSPOS","case normalize and missing review"
"raw_vs_clinic.csv","sdtm_vs.csv","result","VS","VSORRES","numeric or character result handling"
"raw_vs_clinic.csv","sdtm_vs.csv","unit","VS","VSORRESU","unit normalize"
"raw_vs_clinic.csv","sdtm_vs.csv","baseline_flag","VS","VSBLFL","yes/no normalize"
"raw_vs_clinic.csv","sdtm_vs.csv","time_point","VS","VSTPT","rename"
