"raw_dataset","source_standard_dataset","raw_variable","target_dataset","target_variable","transformation"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","subject_id","RS","USUBJID","rename"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","visit","RS","VISIT","rename"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","response_date","RS","RSDTC","parse mixed date"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","assessment_method","RS","RSTEST","case normalize"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","evaluator","RS","RSEVAL","evaluator normalize"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","response_result","RS","RSORRES","response terminology normalize"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","accepted","RS","RSACPTFL","yes/no normalize"
"raw_rs_oncology.csv","sdtm_rs_onco.csv","reason_not_done","RS","RSREASND","missing reason handling"
